nvml_pwr_limit,seq_len,Joules/token_mean,Joules/token_std,throughput_mean,throughput_std
215,1024,156862.74509886705,367290.02271236386,172945.3379965982,79539.50867621435
215,2048,156862.74509845313,367290.02271254436,345890.6759931964,159079.0173524287
215,4096,156862.74509824617,367290.0227126344,691781.3519863928,318158.0347048574
215,8192,156862.7450981427,367290.02271267946,1383562.7039727855,636316.0694097148
235,128,137254.901967473,347540.3771126707,21641.960760362326,10040.642532761169
235,256,137254.90196412866,347540.3771140179,43283.92152072465,20081.285065522337
235,512,137254.9019624565,347540.3771146915,86567.8430414493,40162.570131044675
235,786,137254.90196187355,347540.37711492635,132895.16529409992,61655.82055273656
235,1024,137254.9019616204,347540.3771150284,173135.6860828986,80325.14026208935
235,2048,137254.90196120235,347540.3771151967,346271.3721657972,160650.2805241787
235,4096,137254.90196099333,347540.37711528083,692542.7443315944,321300.5610483574
235,8192,137254.90196088882,347540.3771153231,1385085.4886631889,642601.1220967148
250,128,3538.570427195308,59401.56680323971,15740.851671359196,8485.25157093033
250,256,3538.5704223733087,59401.56680352713,31481.703342718392,16970.50314186066
250,512,3538.570419962309,59401.56680367085,62963.406685436785,33941.00628372132
250,786,98039.21568738563,300326.619584662,133576.1202346425,60975.878937512236
250,1024,98039.21568712738,300326.61958474806,174022.83348635357,79439.31301782762
250,2048,98039.21568670095,300326.61958489,348045.66697270714,158878.62603565524
250,4096,98039.21568648773,300326.6195849611,696091.3339454143,317757.2520713105
250,8192,98039.21568638113,300326.6195849966,1392182.6678908286,635514.504142621
