block_size_x,block_size_y,nvml_pwr_limit,sm__warps_active.avg.pct_of_peak_sustained_active,sm__sass_inst_executed_op_shared_ld.avg.per_cycle_active,time,times,nvml_power,nvml_energy,compile_time,verification_time,benchmark_time,Joules/token,SM_Utilization,strategy_time,framework_time,timestamp,label,batch_size,seq_len,nhead,dim_per_head
1,128,150,8.308760022688013,0.10230231778688735,0.013563428473259722,"[0.003903999924659729, 0.012927999719977379, 0.010048000141978264, 0.009056000038981438, 0.04201599955558777, 0.008448000065982342, 0.00854399986565113]",0,0,1223.6379571259022,0,503.6252913996577,0.0,8.308760022688013,0,55.92661025002599,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,128,165,8.309046574322892,0.10302345808830211,0.009188571412648474,"[0.004639999940991402, 0.014879999682307243, 0.009696000255644321, 0.009216000325977802, 0.00854399986565113, 0.008671999908983707, 0.008671999908983707]",0,0,1219.8284128680825,0,723.5535108484328,0.0,8.309046574322892,0,53.573834244161844,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,128,185,8.30806657466975,0.10282922910471452,0.009106285570721542,"[0.003871999913826585, 0.01321600005030632, 0.009440000168979168, 0.009247999638319016, 0.01206399966031313, 0.00825599953532219, 0.007648000027984381]",0,0,1215.2719353325665,0,734.2354152351618,0.0,8.30806657466975,0,56.09864043071866,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,128,200,8.308588600484452,0.10307229737189019,0.009129142787839686,"[0.004031999967992306, 0.013952000066637993, 0.010111999697983265, 0.010304000228643417, 0.009151999838650227, 0.008767999708652496, 0.007584000006318092]",0,0,1214.1633108258247,0,733.901992905885,0.0,8.308588600484452,0,52.08127247169614,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,128,215,8.30858717322689,0.10251773003836664,0.008991999984053629,"[0.003871999913826585, 0.01375999953597784, 0.011552000418305397, 0.00854399986565113, 0.008704000152647495, 0.008448000065982342, 0.008063999935984612]",0,0,1218.1653818115592,0,749.2415988817811,0.0,8.30858717322689,0,56.33505154401064,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,128,235,8.308388513066257,0.10334073403694274,0.00901942849824471,"[0.003871999913826585, 0.013472000136971474, 0.010048000141978264, 0.009920000098645687, 0.008671999908983707, 0.008991999551653862, 0.0081599997356534]",0,0,1218.8484398648143,0,745.3589220531285,0.0,8.308388513066257,0,53.86191280558705,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,128,250,8.308897890240884,0.10245618565019526,0.008891428488173656,"[0.003967999946326017, 0.013472000136971474, 0.010623999871313572, 0.008415999822318554, 0.008415999822318554, 0.008576000109314919, 0.008767999708652496]",0,0,1224.6664739213884,0,753.7592900916934,0.0,8.308897890240884,0,51.7293568700552,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,256,100,16.607608512786,0.16689098250336473,0.009572571542646204,"[0.004288000054657459, 0.014816000126302242, 0.010495999827980995, 0.010143999941647053, 0.009472000412642956, 0.009216000325977802, 0.008576000109314919]",0,0,1226.2210068292916,0,700.3254597075284,0.0,16.607608512786,0,55.32388249412179,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,256,115,16.6075847725358,0.1671440606571188,0.008969142833458526,"[0.004224000032991171, 0.013728000223636627, 0.0098879998549819, 0.009279999881982803, 0.008608000352978706, 0.008895999751985073, 0.0081599997356534]",0,0,1224.2818879894912,0,755.090338177979,0.0,16.6075847725358,0,56.41292780637741,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,256,135,16.607356877735597,0.1676020717947635,0.00892799992912582,"[0.004191999789327383, 0.013535999692976475, 0.010143999941647053, 0.009759999811649323, 0.008608000352978706, 0.008224000222980976, 0.008031999692320824]",0,0,1219.5132579654455,0,746.4886591769755,0.0,16.607356877735597,0,53.319265600293875,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,256,150,16.607445053062214,0.16735289931095565,0.009257142964218344,"[0.004288000054657459, 0.013632000423967838, 0.010975999757647514, 0.009344000369310379, 0.009279999881982803, 0.008671999908983707, 0.008608000352978706]",0,0,1217.5224982202053,0,724.9899809248745,0.0,16.607445053062214,0,52.09232680499554,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,256,165,16.60763037737636,0.16698404014686852,0.008978285760219609,"[0.004191999789327383, 0.01360000018030405, 0.009952000342309475, 0.009184000082314014, 0.00902399979531765, 0.008448000065982342, 0.008448000065982342]",0,0,1218.392149079591,0,760.0656519643962,0.0,16.60763037737636,0,56.62055592983961,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,256,185,16.607063885866925,0.1684612731180513,0.009037714318505355,"[0.004255999810993671, 0.013120000250637531, 0.010015999898314476, 0.009600000455975533, 0.008448000065982342, 0.009759999811649323, 0.008063999935984612]",0,0,1218.6472928151488,0,740.2513953857124,0.0,16.607063885866925,0,52.10468778386712,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,256,200,16.607412451567267,0.1675693366695172,0.009490285733980792,"[0.004255999810993671, 0.013151999562978745, 0.011680000461637974, 0.01027199998497963, 0.009056000038981438, 0.009151999838650227, 0.00886400043964386]",0,0,1219.872344750911,0,705.4386180825531,0.0,16.607412451567267,0,53.62484697252512,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,256,215,16.60759992772082,0.16707016694385382,0.00917028569217239,"[0.004127999767661095, 0.013472000136971474, 0.010432000271975994, 0.00854399986565113, 0.009631999768316746, 0.009247999638319016, 0.008736000396311283]",0,0,1220.1250209473073,0,727.1364470943809,0.0,16.60759992772082,0,52.85376915708184,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,256,235,16.608287331586826,0.1650033266799734,0.009302857132362468,"[0.004480000119656324, 0.01369599997997284, 0.010688000358641148, 0.009855999611318111, 0.008799999952316284, 0.009247999638319016, 0.008352000266313553]",0,0,1216.3915098644793,0,718.1119560264051,0.0,16.608287331586826,0,57.52890091389418,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,256,250,16.60744385972313,0.1673873151800215,0.009252571633883886,"[0.0041600000113248825, 0.0144640002399683, 0.011008000001311302, 0.00886400043964386, 0.00886400043964386, 0.008608000352978706, 0.008799999952316284]",0,0,1219.8265469633043,0,717.4094631336629,0.0,16.60744385972313,0,55.48890586942434,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,512,100,33.14664327327192,0.23852245916174505,0.009481142873742751,"[0.004575999919325113, 0.013919999822974205, 0.010816000401973724, 0.009375999681651592, 0.009312000125646591, 0.00940799992531538, 0.008960000239312649]",0,0,1220.8799091167748,0,706.4325190149248,0.0,33.14664327327192,0,50.96662417054176,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,512,115,33.143983762569775,0.23988876125989964,0.009311999926077468,"[0.004736000206321478, 0.013791999779641628, 0.010367999784648418, 0.009088000282645226, 0.008991999551653862, 0.00940799992531538, 0.008799999952316284]",0,0,1222.2051811404526,0,725.0180658884346,0.0,33.143983762569775,0,58.74901684001088,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,512,135,33.14435167753838,0.23952222318636085,0.009741714290742363,"[0.004832000005990267, 0.01408000010997057, 0.010688000358641148, 0.010495999827980995, 0.010048000141978264, 0.008991999551653862, 0.009056000038981438]",0,0,1220.5257341265678,0,687.8721262328327,0.0,33.14435167753838,0,55.1914325915277,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,512,150,33.14578918415443,0.23812613693903192,0.009453714226505585,"[0.005311999935656786, 0.014015999622642994, 0.010944000445306301, 0.009727999567985535, 0.008608000352978706, 0.008991999551653862, 0.008576000109314919]",0,0,1219.974865205586,0,713.5819410905242,0.0,33.14578918415443,0,51.63292679935694,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,512,165,33.14445384198074,0.23918383339109991,0.009513142917837416,"[0.004639999940991402, 0.01360000018030405, 0.010975999757647514, 0.010048000141978264, 0.008736000396311283, 0.009600000455975533, 0.008991999551653862]",0,0,1218.634500168264,0,701.0144661180675,0.0,33.14445384198074,0,55.24050164967775,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,512,185,33.14569851721121,0.2394183485684979,0.009458285756409168,"[0.004544000141322613, 0.013663999736309052, 0.011231999844312668, 0.009184000082314014, 0.009184000082314014, 0.008799999952316284, 0.009600000455975533]",0,0,1220.2149261720479,0,708.992000669241,0.0,33.14569851721121,0,52.75484500452876,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,512,200,33.14732338607635,0.2386138985981133,0.009586285666695662,"[0.004800000227987766, 0.014240000396966934, 0.011071999557316303, 0.009824000298976898, 0.00902399979531765, 0.009503999724984169, 0.00863999966531992]",0,0,1222.63437602669,0,702.1584468893707,0.0,33.14732338607635,0,56.30598729476333,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,512,215,33.144784178317835,0.23958187890337554,0.009362285823694297,"[0.0046720001846551895, 0.013632000423967838, 0.011008000001311302, 0.009472000412642956, 0.008927999995648861, 0.008991999551653862, 0.008832000195980072]",0,0,1220.6275193020701,0,716.4357341825962,0.0,33.144784178317835,0,57.46810231357813,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,512,235,33.144438770041674,0.24017098867010916,0.009353142763887132,"[0.0046720001846551895, 0.013535999692976475, 0.010495999827980995, 0.009312000125646591, 0.009503999724984169, 0.009247999638319016, 0.008704000152647495]",0,0,1217.9916249588132,0,719.6244550868869,0.0,33.144438770041674,0,53.101424127817154,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,512,250,33.157679996446014,0.22266647026227,0.00926171416150672,"[0.004639999940991402, 0.013183999806642532, 0.01071999967098236, 0.009279999881982803, 0.008704000152647495, 0.00940799992531538, 0.008895999751985073]",0,0,1223.737958818674,0,730.5564791895449,0.0,33.157679996446014,0,53.23024420067668,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,1024,100,66.19756747214203,0.29559549306266875,0.010239999940884965,"[0.005663999821990728, 0.0144640002399683, 0.011327999643981457, 0.010400000028312206, 0.009727999567985535, 0.01056000031530857, 0.009535999968647957]",0,0,1220.2853001654148,0,657.5390947982669,0.0,66.19756747214203,0,55.97757315263152,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,1024,115,66.19972923613872,0.2918136544043463,0.009883428591170482,"[0.005791999865323305, 0.014112000353634357, 0.010432000271975994, 0.01027199998497963, 0.009855999611318111, 0.009631999768316746, 0.009088000282645226]",0,0,1222.8675712831318,0,675.1910340972245,0.0,66.19972923613872,0,56.25027371570468,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,1024,135,66.19593788928353,0.2943702068863192,0.01004799994240914,"[0.0055680000223219395, 0.014399999752640724, 0.010944000445306301, 0.009983999654650688, 0.009631999768316746, 0.009952000342309475, 0.009855999611318111]",0,0,1220.1084783300757,0,669.7396500967443,0.0,66.19593788928353,0,52.03161435201764,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,1024,150,66.19850627470646,0.2947966679358476,0.010258285727884089,"[0.005504000000655651, 0.01414399966597557, 0.011103999800980091, 0.0098879998549819, 0.01056000031530857, 0.010080000385642052, 0.010528000071644783]",0,0,1218.43245299533,0,648.2807812280953,0.0,66.19850627470646,0,52.24794475361705,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,1024,165,66.19441017438764,0.29390823700425434,0.010148571604596717,"[0.005344000179320574, 0.01408000010997057, 0.011136000044643879, 0.010400000028312206, 0.010208000428974628, 0.01056000031530857, 0.009312000125646591]",0,0,1219.4539052434266,0,655.7110529392958,0.0,66.19441017438764,0,51.37906922027469,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,1024,185,66.19645331855517,0.29442549511091737,0.010015999964837517,"[0.005824000108987093, 0.014592000283300877, 0.011327999643981457, 0.01017600018531084, 0.009535999968647957, 0.009247999638319016, 0.00940799992531538]",0,0,1221.018809825182,0,665.0776667520404,0.0,66.19645331855517,0,50.994576420634985,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,1024,200,66.20382638930677,0.2938755861264506,0.010272000118025712,"[0.005408000200986862, 0.014208000153303146, 0.01152000017464161, 0.010080000385642052, 0.010495999827980995, 0.009920000098645687, 0.01027199998497963]",0,0,1223.9572759717703,0,649.1314237937331,0.0,66.20382638930677,0,52.28423327207565,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,1024,215,66.20309926155421,0.294456902609103,0.010413714285407747,"[0.005375999957323074, 0.014911999925971031, 0.012160000391304493, 0.010623999871313572, 0.009855999611318111, 0.009759999811649323, 0.010208000428974628]",0,0,1222.2490701824427,0,642.167991027236,0.0,66.20309926155421,0,56.41929991543293,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,1024,235,66.19846631102864,0.2945053925547953,0.010125714287694012,"[0.005535999778658152, 0.014399999752640724, 0.011359999887645245, 0.010432000271975994, 0.00979200005531311, 0.010015999898314476, 0.009344000369310379]",0,0,1221.3497604243457,0,660.92583630234,0.0,66.19846631102864,0,51.809458527714014,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
1,1024,250,66.2027334134159,0.2927609811882809,0.010843428583549601,"[0.0055680000223219395, 0.015231999568641186, 0.014208000153303146, 0.01104000024497509, 0.009983999654650688, 0.010208000428974628, 0.009664000011980534]",0,0,1219.2555624060333,0,616.8147791177034,0.0,66.2027334134159,0,52.2711924277246,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
2,16,100,2.0833333333333335,0.02650315927276613,0.008859428510602032,"[0.004352000076323748, 0.01283199992030859, 0.010208000428974628, 0.00863999966531992, 0.009983999654650688, 0.008031999692320824, 0.007968000136315823]",0,0,1222.4932201206684,0,753.8121049292386,0.0,2.0833333333333335,0,51.90573865547776,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
2,16,115,2.083333333333333,0.026650547383974744,0.009202285669744015,"[0.003903999924659729, 0.014112000353634357, 0.009920000098645687, 0.009535999968647957, 0.0098879998549819, 0.00902399979531765, 0.008031999692320824]",0,0,1218.2098366320133,0,728.7026043049991,0.0,2.083333333333333,0,57.530814316123724,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
2,16,135,2.0833333333333335,0.026788004806718606,0.009234285846884762,"[0.004000000189989805, 0.013632000423967838, 0.011296000331640244, 0.009664000011980534, 0.008895999751985073, 0.00854399986565113, 0.008608000352978706]",0,0,1218.1244823150337,0,736.4973239600658,0.0,2.0833333333333335,0,60.770435724407434,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
