seq_len,batch_size,nhead,dim_per_head,block_x,block_y,thread_count,predicted_time_ns,actual_time_ns,predicted_power,actual_power,mem_coal,mem_uncoal,mem_partial,local_insts,shared_insts,synch_insts,fp_insts,int_insts,sfu_insts,alu_insts,total_insts,registers_per_thread,shared_mem_bytes
256,4,16,256,4,8,32,651423.4436103952,18918.400444090366,4576.782620462798,71.457,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,4,16,64,1956839.9506611992,19955.199770629406,4576.782620462798,119.422,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,4,32,128,3961653.4461651524,19552.000053226948,4576.782620462798,74.821,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,4,64,256,8042928.352353848,22406.399622559547,4576.782620462798,80.174,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,4,128,512,16349047.114579849,18227.20058262348,4576.782620462798,85.079,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,4,256,1024,22169041.450266343,41939.2004609108,4576.782620462798,88.155,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,8,4,32,556713.095589669,9420.80020904541,4058.567323244944,68.275,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,8,8,64,1621767.041110039,20960.000157356262,4014.090384856951,68.924,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,8,16,128,3259148.2552882405,20768.000185489655,4058.567323244944,64.165,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,8,32,256,6569748.510688403,24089.600518345833,4103.044261632936,73.086,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,8,64,512,13262747.365866393,34092.799574136734,4147.5212000209285,73.98,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,8,128,1024,17864870.328395683,43212.79972791672,4191.9981384089215,73.947,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,16,2,32,514374.3518118906,19993.60006302595,3759.972500207536,67.028,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,16,4,64,1506986.781377632,21734.40009355545,3737.7340310135396,67.651,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,16,8,128,2978537.1621764936,13535.99987924099,3715.495561819543,67.646,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,16,16,256,5903705.140798973,37811.20032072067,3693.2570926255466,67.933,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,16,32,512,11862065.077120777,45260.800421237946,3715.495561819543,69.11,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,16,64,1024,15903652.98130813,68403.20080518723,3737.7340310135396,67.252,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,32,1,32,387951.2772559998,22560.0004196167,3588.436619494835,66.68,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,32,2,64,1138033.3646467444,14540.800079703331,3577.3173848978377,65.893,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,32,4,128,2256290.6472782777,30675.20000040531,3566.1981503008387,67.166,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,32,8,256,4485713.915476284,32300.800830125805,3555.078915703841,66.377,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,32,16,512,8930368.005580012,59078.40058207512,3543.9596811068427,66.162,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,32,32,1024,11864049.106012614,114688.00157308578,3532.8404465098447,65.71,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,64,1,64,1145154.2181982894,23187.199980020523,3599.5558540918337,66.047,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,64,2,128,2270512.6500570453,29273.60013127327,3588.436619494835,65.33,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,64,4,256,4514138.216709496,32767.999917268753,3577.3173848978377,65.525,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,64,8,512,8987196.903722115,71673.59963059425,3566.1981503008387,65.615,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,64,16,1024,11939807.923532689,124851.2014746666,3555.078915703841,65.618,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,128,1,128,2284734.652835813,19507.1991533041,3610.6750886888317,65.895,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,128,2,256,4542562.517942709,41932.80041217804,3599.5558540918337,65.452,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,128,4,512,9044025.801864216,58790.40136933327,3588.436619494835,65.035,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,128,8,1024,12015566.741052762,124441.60282611847,3577.3173848978377,66.229,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,256,1,256,4570986.819175922,32006.40007853508,3621.79432328583,66.467,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,256,2,512,9100854.700006321,58572.80120253563,3610.6750886888317,82.735,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,256,4,1024,12091325.558572836,125708.80204439163,3599.5558540918337,108.423,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,512,1,512,9157683.598148424,32153.59970927238,3632.913557882828,119.003,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,512,2,1024,12167084.376092909,59392.00147986412,3621.79432328583,67.62,0,0,12,0,1,6,4,16,1,248,288,32,0
256,4,16,256,1024,1,1024,12242843.19361298,32012.799382209778,3644.0327924798257,66.666,0,0,12,0,1,6,4,16,1,248,288,32,0
512,4,16,256,1,32,32,724483.3280597855,11878.400295972824,4576.782620462798,83.5,0,0,12,0,1,6,4,16,1,248,288,32,0
512,4,16,256,1,64,64,2136911.1738183647,11878.400295972824,4576.782620462798,106.139,0,0,12,0,1,6,4,16,1,248,288,32,0
512,4,16,256,1,128,128,4247032.84600654,12288.00043463707,4576.782620462798,115.537,0,0,12,0,1,6,4,16,1,248,288,32,0
512,4,16,256,1,256,256,8467276.190382887,24518.40043067932,4576.782620462798,104.836,0,0,12,0,1,6,4,16,1,248,288,32,0
512,4,16,256,1,512,512,16907762.879135583,32665.60062766075,4576.782620462798,164.693,0,0,12,0,1,6,4,16,1,248,288,32,0
512,4,16,256,1,1024,1024,22529073.94067092,41369.59910392761,4576.782620462798,172.814,0,0,12,0,1,6,4,16,1,248,288,32,0
512,4,16,256,2,16,32,724210.5819848926,22092.800214886665,4576.782620462798,74.932,0,0,12,0,1,6,4,16,1,248,288,32,0
512,4,16,256,2,32,64,2136504.2520567174,12134.400382637978,4576.782620462798,83.379,0,0,12,0,1,6,4,16,1,248,288,32,0
512,4,16,256,2,64,128,4246625.924244891,22092.800214886665,4576.782620462798,78.538,0,0,12,0,1,6,4,16,1,248,288,32,0
