Kernel,BlockX,BlockY,ThreadCount,GridX,GridY,DataSize,EstTime(ns),ActTime(ns),DiffTime(%),WarpsPerSM,PredictedPower(W),ActualPower(W),MemCoal,MemUncoal,MemPartial,LocalInsts,SharedInsts,SynchInsts,FpInsts,IntInsts,SfuInsts,AluInsts,TotalInsts,RegsPerThread,SharedMemBytes
laplace3d.cu,256,2,512,256,1,131072,68872903.09,57344.00,120004.81,16.00,190.32,53.72,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,512,1,512,256,1,131072,69907175.57,49184.00,142033.98,16.00,191.86,54.04,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,1,1024,1024,256,1,131072,438557144.72,27168.00,1614141.60,32.00,191.65,53.99,0,8,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,2,512,1024,256,1,131072,438557125.68,57344.00,764682.92,32.00,191.65,53.82,0,8,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,4,256,1024,256,1,131072,438557087.59,58368.00,751265.61,32.00,191.65,53.80,1,7,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,8,128,1024,256,1,131072,438557011.42,58400.00,750853.77,32.00,191.65,54.49,2,6,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,16,64,1024,256,1,131072,438556859.06,49152.00,892146.18,32.00,191.65,54.22,4,4,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,32,32,1024,256,1,131072,139804341.44,49152.00,284332.65,32.00,139.49,54.33,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,64,16,1024,256,1,131072,178563672.02,39488.00,452097.30,32.00,153.96,54.42,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,128,8,1024,256,1,131072,217323002.60,49104.00,442476.97,32.00,168.44,54.23,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,256,4,1024,256,1,131072,256082333.17,57344.00,446472.14,32.00,182.92,54.63,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,512,2,1024,256,1,131072,279599076.47,58480.00,478010.59,32.00,191.71,54.39,8,0,0,0,0,0,0,0,0,5,13,32,0
laplace3d.cu,1024,1,1024,256,1,131072,279599076.47,48304.00,578732.15,32.00,191.71,54.32,8,0,0,0,0,0,0,0,0,5,13,32,0
matMul.cu,1,32,32,256,1,131072,2701582.38,70144.00,3751.48,1.00,192.01,54.09,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,2,16,32,256,1,131072,2647951.13,60800.00,4255.18,1.00,192.01,54.06,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,4,8,32,256,1,131072,2540697.29,57344.00,4330.62,1.00,192.03,53.78,1,10,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,8,4,32,256,1,131072,2326179.37,65536.00,3449.47,1.00,192.08,54.19,2,9,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,16,2,32,256,1,131072,1897145.11,64304.00,2850.28,1.00,192.20,54.11,5,6,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,32,1,32,256,1,131072,881104.71,63440.00,1288.88,1.00,176.76,54.46,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,1,64,64,256,1,131072,5393619.20,98304.00,5386.67,2.00,192.01,54.24,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,2,32,64,256,1,131072,5286356.70,70656.00,7381.82,2.00,192.02,54.52,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,4,16,64,256,1,131072,5071849.01,65536.00,7639.03,2.00,192.03,54.42,1,10,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,8,8,64,256,1,131072,4642813.18,56320.00,8143.63,2.00,192.08,54.56,2,9,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,16,4,64,256,1,131072,3784744.66,63520.00,5858.35,2.00,192.20,54.36,5,6,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,32,2,64,256,1,131072,1609939.35,55952.00,2777.36,2.00,169.56,54.40,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,64,1,64,256,1,131072,1895369.67,67072.00,2725.87,2.00,183.98,54.23,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,1,128,128,256,1,131072,10777692.83,130048.01,8187.47,4.00,192.01,54.11,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,2,64,128,256,1,131072,10563167.83,97728.00,10708.74,4.00,192.02,54.29,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,4,32,128,256,1,131072,10134152.45,72560.00,13866.58,4.00,192.04,54.58,1,10,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,8,16,128,256,1,131072,9276080.79,67024.00,13739.94,4.00,192.08,54.44,2,9,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,16,8,128,256,1,131072,7559943.75,64928.00,11543.58,4.00,192.20,54.68,5,6,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,32,4,128,256,1,131072,4262140.18,64016.00,6557.93,4.00,161.95,54.29,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,64,2,128,256,1,131072,5094870.22,63552.00,7916.85,4.00,176.38,54.20,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,128,1,128,256,1,131072,5927600.26,56272.00,10433.84,4.00,190.82,54.34,11,0,0,0,0,0,0,0,0,2,13,32,0
